,School ID,School Name,Administrative Body,Department Name,Municipality Name,Canton Name,Hamlet Name,Address,Who provided the data?
0,10001.0,CENTRO ESCOLAR ISIDRO MENENDEZ,CDE,AHUACHAPAN,AHUACHAPÁN,,,"QUINTA CALLE PONIENTE Y SEGUNDA AVENIDA SUR, CUATRO GUION DIEZ",Director(a)
1,10002.0,CENTRO ESCOLAR ALFREDO ESPINO,CDE,AHUACHAPAN,AHUACHAPÁN,,,"COLONIA LOS TULIPANES, LOTE NUMERO UNO",Director(a)
2,10003.0,CENTRO ESCOLAR ALEJANDRO DE HUMBOLDT,CDE,AHUACHAPAN,AHUACHAPÁN,AHUACHAPAN,,FINAL SEXTA CALLE PONIENTE Y AVENIDA MORAZAN,Director(a)
3,10004.0,CENTRO ESCOLAR 1º DE JULIO DE 1823,CDE,AHUACHAPAN,AHUACHAPÁN,,,TERCERA AVENIDA SUR Y QUINTA CALLE PONIENTE ,Director(a)
4,10005.0,INSTITUTO NACIONAL SANTA RITA,CDE,CHALATENANGO,SANTA RITA,,,"CALLE AL CEMENTERIO, BARRIO EL CENTRO",Director(a)
5,10006.0,CENTRO ESCOLAR RICARDO TRIGUEROS DE LEON,CDE,AHUACHAPAN,AHUACHAPÁN,,,"FINAL CALLE PRINCIPAL, SEGUNDA ETAPA COLONIA EL IVU",Director(a)
6,10007.0,CENTRO ESCOLAR CARLOTA LEON VIUDA DE TRIGUEROS,CDE,AHUACHAPAN,AHUACHAPÁN,,,FINAL CALLE SAN ANTONIO PONIENTE COLONIA EL NOPAL,Director(a)
7,10008.0,ESCUELA DE EDUCACION PARVULARIA MARIA SALAZAR VIUDA DE MAGAÑA,CDE,AHUACHAPAN,AHUACHAPÁN,,,FINAL CALLE GERARDO BARRIOS PONIENTE,Director(a)
8,10010.0,CENTRO ESCOLAR CASERIO PUERTAS NEGRAS,CDE,AHUACHAPAN,AHUACHAPÁN,LA MONTAÑITA ,PUESTAS NEGRAS ,CASERIO PUERTAS NEGRAS CANTON LA MONTAÑITA,Director(a)
9,10011.0,CENTRO ESCOLAR CANTON LOS HUATALES,CDE,AHUACHAPAN,AHUACHAPÁN,LOS HUATALES,,"CARRETERA A TACUBA KM DOS Y MEDIO, CANTON LOS HUATALES",Director(a)
10,10012.0,CENTRO ESCOLAR BERNARDINO E. ZAMORA,CDE,AHUACHAPAN,AHUACHAPÁN,EL BARRO,,"CARRETERA ATACO KM 2, CANTON EL BARRO DE LOS DUSOLES",Director(a)
11,10013.0,COMPLEJO EDUCATIVO GENERAL FABIO MORAN,CDE,AHUACHAPAN,AHUACHAPÁN,LAS CHINAMAS,,KM 110 1/2 CARRETERA INTERNACIONAL HACIA GUATEMALA ,Director(a)
12,10014.0,CENTRO ESCOLAR ISABEL CARRILLO DE BOLAÑOS,CDE,AHUACHAPAN,AHUACHAPÁN,EL TIGRE ,LOS ORCONES,CASERIO LOS HORCONES CANTON EL TIGRE,Director(a)
13,10015.0,CENTRO ESCOLAR PROFESOR RICARDO ARGUETA LINARES,CDE,AHUACHAPAN,AHUACHAPÁN,LLANO DE DOÑA MARIA,EL CENTRO,"CASERIO EL CENTRO, CANTON LLANO DE DOÑA MARIA",Director(a)
14,10016.0,CENTRO ESCOLAR CANTON EL ROBLE,CDE,AHUACHAPAN,AHUACHAPÁN,EL ROBLE,,"CALLE PRINCIPAL, CANTON EL ROBLE",Director(a)
15,10017.0,CENTRO ESCOLAR CANTON EL JUNQUILLO,CDE,AHUACHAPAN,AHUACHAPÁN,EL JUNQUILLO ,,"CARRETERA ANTIGUA A ATIQUIZAYA, CANTON EL JUNQUILLO",Director(a)
16,10018.0,CENTRO ESCOLAR COLONIA LA PISTA,CDE,USULUTÁN,SANTA MARÍA,MEJICAPA,,COLONIA LA PISTA A UN KILOMETRO AL ORIENTE DEL DESVIO DE SANTA ELENA,Director(a)
17,10019.0,CENTRO ESCOLAR CANTON ASHAPUCO,CDE,AHUACHAPAN,AHUACHAPÁN,ASHAPUCO,,CANTON ASHAPUCO,Director(a)
