A.02. Código del centro educativo según último acuerdo de acreditación:,TOTAL HOMICIDIOS DEPARTAMENTALES,PORCENTAJE DE HOMICIDIOS A BASE DE POBLACION DEPARTAMENTAL,TOTAL HOMICIDIOS MUNICIPALES,PORCENTAJE DE HOMICIDIOS A BASE DE POBLACION MUNICIPAL
10001,174,0.0005,51,0.0004
10002,174,0.0005,51,0.0004
10003,174,0.0005,51,0.0004
10004,174,0.0005,51,0.0004
10005,80,0.0004,3,0.0004
10006,174,0.0005,51,0.0004
10007,174,0.0005,51,0.0004
10008,174,0.0005,51,0.0004
10010,174,0.0005,51,0.0004
10011,174,0.0005,51,0.0004
10012,174,0.0005,51,0.0004
10013,174,0.0005,51,0.0004
10014,174,0.0005,51,0.0004
10015,174,0.0005,51,0.0004
10016,174,0.0005,51,0.0004
10017,174,0.0005,51,0.0004
10018,210,0.0006,15,0.0011
10019,174,0.0005,51,0.0004
10020,174,0.0005,51,0.0004
10021,174,0.0005,51,0.0004
10022,174,0.0005,51,0.0004
10023,174,0.0005,51,0.0004
10024,174,0.0005,51,0.0004
10025,174,0.0005,51,0.0004
10026,174,0.0005,51,0.0004
10027,174,0.0005,51,0.0004
10029,174,0.0005,51,0.0004
10031,174,0.0005,51,0.0004
10032,174,0.0005,51,0.0004
10033,174,0.0005,51,0.0004
10035,404,0.0005,51,0.0004
10037,174,0.0005,51,0.0004
10038,174,0.0005,51,0.0004
10039,174,0.0005,51,0.0004
10041,263,0.0006,18,0.0003
10042,174,0.0005,51,0.0004
10044,174,0.0005,51,0.0004
10045,174,0.0005,51,0.0004
10048,174,0.0005,51,0.0004
10049,80,0.0004,0,0.0000
10050,404,0.0005,51,0.0004
10051,279,0.0006,125,0.0005
10052,174,0.0005,51,0.0004
10053,174,0.0005,51,0.0004
10056,174,0.0005,5,0.0006
10057,982,0.0006,97,0.0003
10058,404,0.0005,9,0.0006
10059,174,0.0005,7,0.0001
10060,174,0.0005,5,0.0006
10061,174,0.0005,5,0.0006
10062,174,0.0005,36,0.0011
10063,174,0.0005,36,0.0011
10064,174,0.0005,36,0.0011
10065,982,0.0006,92,0.0005
10066,174,0.0005,36,0.0011
10067,174,0.0005,36,0.0011
10068,982,0.0006,68,0.0005
10069,174,0.0005,36,0.0011
10070,174,0.0005,36,0.0011
10071,174,0.0005,36,0.0011
10073,174,0.0005,36,0.0011
10074,174,0.0005,51,0.0004
10075,174,0.0005,36,0.0011
10076,174,0.0005,36,0.0011
10077,174,0.0005,36,0.0011
10078,174,0.0005,36,0.0011
10079,174,0.0005,36,0.0011
10080,279,0.0006,125,0.0005
